tabou; nb_vertices; time; nbColorUsed
tabou,20,1640.4848,12
tabou,20,676.6039,12
tabou,20,848.9388,12
tabou,20,997.785,12
tabou,20,660.1755,11
tabou,25,1882.6969,14
tabou,25,1204.5394,15
tabou,25,1581.31,14
tabou,25,2443.7727,15
tabou,25,1668.4142,12
tabou,30,3583.2266,17
tabou,30,2299.4066,16
tabou,30,2100.6829,17
tabou,30,2446.664,18
tabou,30,3396.5802,16
tabou,35,2996.6161,19
tabou,35,3552.48,19
tabou,35,5710.8093,17
tabou,35,3699.1002,18
tabou,35,5063.1853,17
tabou,40,4467.6097,22
tabou,40,4142.3089,22
tabou,40,5860.1316,21
tabou,40,4886.7811,20
tabou,40,4711.726,20
tabou,45,5985.1495,24
tabou,45,5705.4329,24
tabou,45,5855.1532,24
tabou,45,5966.8335,21
tabou,45,5546.9614,21
tabou,50,11962.6543,26
tabou,50,9609.9378,25
tabou,50,8176.5605,23
tabou,50,7625.0632,24
tabou,50,8381.6498,22
tabou;55;2852.8848;26
tabou;55;2829.2952;26
tabou;55;2922.0906;26
tabou;55;2844.9974;26
tabou;55;2861.7762;26
tabou;60;3632.6544;30
tabou;60;3658.7755;30
tabou;60;3605.7865;30
tabou;60;3665.5402;30
tabou;60;3736.3696;30
tabou;65;4505.9626;30
tabou;65;4742.5847;30
tabou;65;4517.5936;30
tabou;65;4646.59;30
tabou;65;4898.6195;30
tabou;70;5551.9423;35
tabou;70;5789.7798;35
tabou;70;5658.2927;35
tabou;70;5600.4644;35
tabou;70;5794.598;35
